Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	ffd3a72d-16a3-499f-be59-06f7f43f7007	973	973	409	Geometry	5085.6	1674	973	0	409	0	0	0	NaN	0	227925.1	3192.7
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	17edd92e-2471-46c3-a519-42ef5b0c3ca7	247	247	315	Geometry	9857.9	2976.1	247	0	315	0	0	0	NaN	0	177380.9	2236.8
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	733d07e5-5ccc-491c-bcba-d9000d4bd219	1027	1027	247	Geometry	9829.2	2738.1	1027	0	247	0	0	0	NaN	0	29235.9	947.08
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	48efec6c-302b-43fa-b4f1-a8b40ccd22c9	643	643	1027	Geometry	9778.3	2797.2	643	0	1027	0	0	0	NaN	0	10518.5	622.58
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	5efed1b6-4b8b-489d-992c-f7329384ee81	696	696	1027	Geometry	9858.7	2704.8	696	0	1027	0	0	0	NaN	0	18646.3	607.74
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	a65cb944-d700-41fb-94cd-a0f0e5aca7a1	759	759	1027	Geometry	9700	2881.1	759	0	1027	0	0	0	NaN	0	71	34.65
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	0f5e3663-3ca9-44a8-a053-0e2d97e95081	1018	1018	247	Geometry	9863.5	3023.1	1018	0	247	0	0	0	NaN	0	148145	1890.6
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	1563eeb5-19f7-4725-84d1-801b2618282a	755	755	1018	Geometry	9843.4	3022	755	0	1018	0	0	0	NaN	0	53517.9	1153.9
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	adf4f516-c096-4834-b274-5574de964415	959	959	1018	Geometry	9972.5	2993.7	959	0	1018	0	0	0	NaN	0	58723.4	1227.1
JKBY11.1d_A2_Scan2.qptiff - resolution #1_Region 1.ome.tif	00e812ad-4cf9-48e0-8ee5-1e1f21ef706e	990	990	1018	Geometry	9734.3	3064.9	990	0	1018	0	0	0	NaN	0	26805.5	828.71
